repo_name,page,stars,number_of_tests,total_number_commits,url,latest_commit_hash,main_branch,java_language_percent
iluwatar/java-design-patterns,101,71106,827,3173,https://github.com/iluwatar/java-design-patterns.git,2674cb9523a60cb99329601d39bf0f304c841d2a,master,99.044914127393
google/guava,101,42835,1998,5664,https://github.com/google/guava.git,a2bbcc3bc2b4f94666d99a98a31445b8fbd1e152,master,99.9479549199787
apache/dubbo,101,36435,3011,5182,https://github.com/apache/dubbo.git,ae6c6a9a9ab1aa0b3d911243097a12ed4d00009d,master,99.53286019590969
zxing/zxing,101,28624,411,3621,https://github.com/zxing/zxing.git,c25029d29ad28c488db7166c5eaaf798c5ed2667,master,96.03524520269958
eugenp/tutorials,101,28091,13840,23182,https://github.com/eugenp/tutorials.git,41c8af76d2c9474104bb634b550cc329690a7549,master,78.49325143717876
netty/netty,101,27936,4667,10631,https://github.com/netty/netty.git,3d6bed01cd07d0728e21101a5e819975a0d7348d,main,98.50755540608343
alibaba/arthas,101,27624,152,1659,https://github.com/alibaba/arthas.git,3792ca30878544177ee458fa7a2c00f0c8d504e8,master,54.304022635235214
apolloconfig/apollo,101,25882,836,2619,https://github.com/apolloconfig/apollo.git,02fff624870ab6f552e671288d903cb5ae418d80,master,78.86241990661127
alibaba/druid,101,24749,1971,6498,https://github.com/alibaba/druid.git,3b4e77034a6244ba8f78ddc26952e43f4dd26ab6,master,97.56320111355498
xkcoding/spring-boot-demo,101,23941,155,733,https://github.com/xkcoding/spring-boot-demo.git,f10dc0a45be84e89acb48f6cf259620f52838b6e,master,86.76204074131667
alibaba/fastjson,101,23926,2629,3933,https://github.com/alibaba/fastjson.git,869746101f6dd73b70d8a9c2b6dc59de4352519e,master,99.87358088476849
dbeaver/dbeaver,101,23156,216,21345,https://github.com/dbeaver/dbeaver.git,2e1a4eda8b071a86a9a50e5fea6e49743d9e9a75,master,98.9398671409191
alibaba/easyexcel,101,21750,257,764,https://github.com/alibaba/easyexcel.git,f8fd5f0427f04574c6d672615e8256c603e0b172,master,100.0
alibaba/canal,101,21143,264,1464,https://github.com/alibaba/canal.git,b54bea5e3337c9597c427a53071d214ff04628d1,master,94.63931095289885
seata/seata,101,21111,862,1348,https://github.com/seata/seata.git,5ddfbc1f3cb7cca3545b8c1318b11a803b899bb2,master,97.32919714184753
alibaba/spring-cloud-alibaba,101,20593,119,1840,https://github.com/alibaba/spring-cloud-alibaba.git,8bd5a8d688d43545d2fa4464ce6ef726eb3e551f,master,99.83001499997788
alibaba/nacos,101,20257,1205,3743,https://github.com/alibaba/nacos.git,5a4d433970be9b8402f57e65bffa497027f21e30,master,98.76539086900652
google/gson,101,20255,130,1602,https://github.com/google/gson.git,6e06bf0d89ad71f317c920cdaf9981a0508446d3,master,100.0
apache/skywalking,101,18107,491,6828,https://github.com/apache/skywalking.git,b63008c61e1fcb1d69b25a8be7ce99f1d987a175,master,98.45235477189172
jenkinsci/jenkins,101,18057,3171,31701,https://github.com/jenkinsci/jenkins.git,09f0269e87625491d7d897ba0e878a1f7fa31de4,master,85.60470508281692
alibaba/Sentinel,101,17814,498,713,https://github.com/alibaba/Sentinel.git,0a34fc4d11392f0587e7ba5bf2626f902b23c750,master,89.58987447438032
redisson/redisson,101,17747,2413,6904,https://github.com/redisson/redisson.git,fdcb943828c568d8ef599d66f6493fc100fc8e02,master,100.0
apache/flink,101,17519,15381,28863,https://github.com/apache/flink.git,1529b78ddc4abc69b8fd3ca1cafef057aa53e3cb,master,85.47098624698437
mybatis/mybatis-3,101,16455,1596,3869,https://github.com/mybatis/mybatis-3.git,a2cdac6f76645619b1c09785000f1eaa7830b280,master,99.39876278253851
brettwooldridge/HikariCP,101,15981,102,2799,https://github.com/brettwooldridge/HikariCP.git,8b4a6bbebb772d1ea991ffa54793629a09642270,master,98.41967581067091
apache/rocketmq,101,15852,795,1844,https://github.com/apache/rocketmq.git,df4e98855d461d85e9c4ed43add1b12a58bca7b6,master,98.74837048794764
